Адрес;כתובת (Ktovet)
Актёр;שחקן (Sachkan)
Апельсин;תפוז (Tapuz)
Арбуз;אבטיח (Avatiach)
Аэропорт;נמל תעופה (Namal Te'ufa)
Баклажан;בצלע (Batzal)
Балкон;מרפסת (Mirpeset)
Банан;בננה (Banana)
Бассейн;בריכה (Breicha)
Бедный;עני (Ani)
Без;בלעדי (Bli)
Белый;לבן (Lavan)
Бесплатно;חינם (Chinam)
Богатый;עשיר (Ashir)
Более;יותר (Yoter)
Болезнь;מחלה (Mahala)
Большой;גדול (Gadol)
Брюки;מכנסיים (Michnasayim)
Булочная;קונדיטוריה (Konditoria)
Бутылка;בקבוק (Bakbuk)
Быстро;מהר (Mehir)
Ванная;חדרחדר אמבטיה  (Chadar Ambatia)
Велосипед;אופניים (Ofanayim)
Вертолёт;מסוק (Masok)
Вечеринка;מסיבה (Mesiba)
Вид;נוף (Nof)
Виноград;ענבים (Anavim)
Вишня;דובדבן (Dovdan)
Вместе;יחד (Yachad)
Внутри;בפנים (Bifnim)
Возможно;אולי (Ulay)
Возраст;גיל (Gil)
Вопрос;שאלה (She'elah)
Всё;הכל (Hakol)
Всегда;תמיד (Tamid)
Выборы;בחירות (Bechirut)
Выключатель;מתג (Meteg)
Вылет;המראה (Hamara'a)
Высокий;גבוה (Gavo'a)
Глаз;עין (Ayin)
Год;שנה (Shana)
Голова;ראש (Rosh)
Голодный;רָעֵב (Ra'ev)
Гора;הר (Har)
Горло;גרון (Garon)
Город;עיר (Ir)
Гостиница;מלון (Milon)
Гость;אורח (Orech)
Гранат;רימון (Rimon)
Граница;גבול (Gvul)
Грустный;עצוב (Atzuv)
Груша;אגס (Eguz)
Грязный;מלוכלך (Meluklach)
Грязь;מכלןך (Machluch)
Дата;תאריך (Ta'arich)
Дверь;דלת (Delet)
Дворик;חצר (Chatzer)
Девушка;בחורה (Bachura)
Дешёвый;זול (Zol)
Диван;ספה (Sofa)
Дисплей;מסך (Masach)
Длинный;ארוך (Aroch)
Дождь;גשם (Geshem)
Документ;מסמך (Mismach)
Дорога;דרך (Derech)
Дорогой;יקר (Yakar)
Доска;לוח (Luach)
Доставщик;של׳ח (Shaliah)
Древний;עתיק (Atik)
Другой;אחר (Acher)
Дыня;מלון (Melon)
Еда;אוכל (Ochel)
Ещё;עוד (Od)
Жёлтый;צהוב (Tzahov)
Женщина;אישה (Isha)
Живот;בטן (Beten)
Жизнь;חיים (Chayim)
Забастовка;הסברה (Hisbara)
Завтра;מחר (Mahar)
Заголовок;כותרת (Koteret)
Закат;שקיעה (Shkia)
Занятый;עסוק (Asuk)
Запах;ריח (Reyach)
Запятая;פסיק (Psik)
Зарплата;שַׂכְר (Sachar)
Здоров;בר׳א (Bria)
Здоровье;בריאות (Briut)
Зелёный;ירוק (Yarok)
Зелёный лук;בצל ירוק (Bat'zal Yarok)
Знак;סימן (Siman)
Зоопарк;גן חיות (Gan Hayot)
Зуб;שן (Shen)
Идея;רעיון (Ra'ayon)
Инженер;מהנדס (Mehandes)
Интересный;מעניין (Me'anen)
История;משפר (Mispar)
Иудей;יְהוּדִי (Yehudi)
Кабачок;דלעת (Dla'at)
Каждый день;כל יום (Kol Yom)
Как;איך (Eich)
Капуста;כרוב (Kruv)
Карандаш;עפרון (Iparon)
Карта;מפה (Mapa)
Картинка;תמונה (Tmuna)
Картошка;תפוחי אדמה (Tapuhi Adama)
Кассир;קופאי (Kupa'i)
Кастрюля;סיר (Sir)
Кепка;כובע (Kova)
Кинза;כוסברה (Kusbara)
Кино;קולנוע (Colnoa)
Клиника;מרפאה (Merpa'a)
Клубника;תות (Tut)
Ключ;מפתח (Maftech)
Книга;ספר (Sefer)
Ковёр;שטיח (Shtiyach)
Кокос;קוקוס (Kokos)
Комната;חדר (Cheder)
Компьютер;מחשב (Machshev)
Конверт;מכתב (Michtav)
Кондиционер;מזגן (Mazgan)
Конец;סוף (Sof)
Конечно;בוודא׳ (Bevadai)
Коричневый;חום (Chum)
Коробка;קופסה (Cufsa)
Король;מלך (Melech)
Короткий;קצר (Katzar)
Кошелёк;ארנק (Arnak)
Красный;אדום (Adom)
Кровать;מיטה (Mita)
Кроме;חוּץ (Chutz)
Кто-нибудь;מישהו (Mi'shehu)
Кукла;בובה (Buba)
Курятина;עוף (Of)
Кухня;מטבח (Mitbach)
Лёгкий;קל (Kal)
Лекция;הרצאה (Hartsa'a)
Лифт;מעלית (Ma'alit)
Лук;בצל (Bat'zal)
Луна;ירח (Yare'ach)
Люди;אנשים (Anashim)
Майка;חולצה (Chulza)
Маленький;קטן (Katan)
Мало;קצת (Ktzat)
Мандарин;מנדרינה (Mandarina)
Марка;בול (Bul)
Медленно;לאט (Leat)
Между;בין (Bein)
Менеджер;מנהל (Menahel)
Менее;פחות (Pachot)
Место;מקום (Makom)
Месяц;חודש (Chodesh)
Мечта;חלום (Chalom)
Министр;שר (Sar)
Много;הרבה (Harbe)
Молодой;צעיר (Tza'ir)
Момент;רגע (Rega)
Морковь;גזר (Gezer)
Мотоцикл;אופנוע (Ofanoa)
Мужчина;גבר (Gever)
Мусорный контейнер;פח זבל (Pach Zevel)
Мусульманин;מוסלמי (Muslemi)
Мясо;בשר (Basar)
Мяч;כדור (Kadur)
Наличные;מזומן (Muzman)
Начало;התחלה (Hatchala)
Низкий;נמוך (Nemuch)
Никогда;אף פעם (Af Pa'am)
Никто;אף אחד (Ef Ehad)
Новый;חדש (Chadash)
Нога;רגל (Regel)
Ноги;רגליים (Reglayim)
Нос;אף (Af)
Носок;גרב (Garav)
Ночь;לילה (Laila)
Обычно;כללית (Klalit)
Овощи;ירקות (Yrakot)
Огонь;אש (Esh)
Одеяло;שמיכה (Smicha)
Одинокий;בודד (Boded)
Озеро;אגם (Agam)
Окно;חלון (Chalon)
Окончание;סיום (Siyyum)
Опоздание;א׳חור (Ichur)
Оранжевый;כתום (Katom)
Особенный;מיוחד (Meyuchad)
Ответ;תשובה (Teshuvah)
Отдых;מנוחה (Menucha)
Отпуск;חוֹפֶשׁ (Chofesh)
Очки;משקפיים (Mishkafayim)
Ошибка;טעות (Ta'ut)
Пальто;מעיל (Me'il)
Память;זיכרון (Zikaron)
Парень;חבר (Chaver)
Парковка;חנייה (Chaniya)
Пароль;סיסמה (Sisma)
Певец;זמר (Zemer)
Перед;לפני (Lifnei)
Перец;פלפל (Pilpel)
Персик;אפרסק (Afarsek)
Перчатки;כפפות (Kefefot)
Писатель;סופר (Sofer)
Письмо;מכתב (Michtav)
Платёж;תשלום (Tashlum)
Платье;שמלה (Simla)
Плюс;פלוס (Plus)
Подушка;כר (Kar)
Поезд;רכבת (Rakevet)
Пожилой;מבוגר (Mevugar)
Позавчера;שֶׁלִּשׁוֹם (Shelishom)
Поздно;מאוחר (Me'uchar)
Поиск;חיפוש (Hipus)
Покупка;קניות (Kniyot)
Пол;רצפה (Ritzpa)
Полка;מדף (Maf)
Помидор;עגבניה (Agvanya)
Помощь;עזרה (Ezra)
Порт;נמל (Namal)
После;אחרי (Acharai)
Посылка;חבילה (Chavila)
Потолок;תקרה (Tkara)
Почти;כמעט (Kim'at)
Праздник;חג (Chag)
Предложение;משפט (Mishpat)
Президент;נשיא (Nasi)
Прибытие;הגעה (Haga'a)
Приглашение;הזמנה (Hazmana)
Прилёт;הנחיתה (Hanachita)
Примерно;בְּערך (Be'erech)
Принц;נסיך (Nasich)
Природа;טֶבַע (Teva)
Причёска;תסרוקת (Tisroket)
Пробка;פקק (Pakak)
Проблема;בעיה (Ba'aya)
Программа;תוכנית (Tochnit)
Продавец;מוחר (Mocher)
Простой;פשוט (Pashut)
Просторный;מרווח (Meruach)
Протест;הפגנה (Hapganah)
Против;נגד (Neged)
Профессия;מקצוע (Miktsoa)
Малиновый;ארגמן (Argaman)
Пустыня;מִדבָּר (Midbar)
Разница;הבדל (Hevdel)
Разрешение;אישור (Ishur)
Рано;מוקדם (Mukdam)
Редис;רדיש (Radish)
Ресторан;מסעדה (Misada)
Решение;החלטה (Hachlata)
Розовый;ורוד (Varod)
Рука;יד (Yad)
Рукав;שרוול (Sharavell)
Руки;ידיים (Yadaiim)
Ручка;עט (Et)
Рыба;דג (Dag)
С;עם (Im)
Сапоги;מגפיים (Migpa'im)
Свёкла;סלק (Selek)
Свет;אור (Or)
Светлый;מואר (Muar)
Свеча;נר (Ner)
Свитер;סוודר (Sweader)
Свободный;פנן (Panu)
Сдача;עודף (Odaf)
Сегодня;היום (Hayom)
Секрет;סוד (Sod)
Сельдерей;סלרי (Seleri)
Сердце;לב (Lev)
Сериал;סדרה (Sidra)
Серьезный;רציני (Ratzini)
Синий;כחול (Kachol)
Ситуации;מצב (Matsav)
Скамейка;ספסל (Sofesel)
Скучный;משעמם (M'shame)
Слабый;חלש (Chalash)
Сладкий;מתוק (Matok)
Слово;מילה (Milah)
Сложный;קשה (Kashe)
Смешной;מצחיק (Metzchik)
Снаружи;מחוץ (Mikhutz)
Снег;שלג (Sheleg)
Снова;שוב (Shuv)
Советник;יעוץ (Yuatz)
Соглашение;הסכם (Heskem)
Сок;מיץ (Mitz)
Солдат;חייל (Chayal)
Солёный;מלוח (Meluch)
Солнце;שמש (Shemesh)
Сообщение;הודעה (Hoda'a)
Соревнования;תחרויות (Tacharuyot)
Сосед;שכן (Shachen)
Сотрудник;עובד (Oved)
Спина;גב (Gav)
Спуск;ירידה (Yerida)
Старый;ישן (Yashan)
Старый;זקן (Zaken)
Стена;קיר (Kir)
Стол;שולחן (Shulchan)
Страна;ארץ (Eretz)
Страшный;מפחיד (Mafchid)
Стул;כסא (Kise)
Сумасшедший;משוגע (Meshuga)
Сумка;תיק (Tik)
Сумка;תיק (Tik)
Счастливый;מאושר (Me'usher)
Сыр;גבינה (Gvina)
Такси;מונית (Monit)
Там;שם (Sham)
Тарелка;צלחת (Tzelachat)
Тело;גוף (Guf)
Терпение;סבלנות (Savlanut)
Тетрадь;מחברת (Machberet)
Тихий;שקט (Shaket)
Толстый;שַׁמֵן (Shamen)
Торт;עוגה (Oogah)
Традиция;מסורת (Masoret)
Тут;כאן (Kan)
Тыква;דלועה (Dalua)
Удача;מזל (Mazal)
Уже;כבר (Kvar)
Узкий;צר (Tzar)
Укроп;כוסבה (Kosba)
Улыбка;חיוך (Chayuch)
Умный;חכם (Chacham)
Уставший;עיפה (Aifa)
Ухо;אוזן (Ozen)
Фабрика;מפעל (Mif'al)
Флаг;דג (Degel)
Фрукты;פירות (Piriot)
Холодильник;מקרר (Mikarer)
Христианин;נוצרי (Notzri)
Худой;רָז (Raz)
Цветок;פרח (Perach)
Цена;מחיר (Machir)
Часы;שעון (Shaon)
Чёрный;שחור (Shachor)
Чёрный;שחור (Shachor)
Чеснок;שום (Shum)
Чистый;נקי (Naki)
Что-нибудь;משהו (Ma'shehu)
Шапка;כובע (Kova)
Шарф;צעיף (Tz'if)
Шея;צוואר (Tzavar)
Широкий;רחב (Rachav)
Шкаф;ארון (Aron)
Шторы;וילונות (Vilonot)
Штраф;קנס (Kenas)
Шум;רעש (Ra'ash)
Шумный;רועש (Roe'sh)
Этаж;קומה (Koma)
Юбка;חצאית (Chatzit)
Яблоко;תפוח (Tapuach)
Язык;לשון (Lashon)
Яйца;ביצים (Beitzim)
